LEA Code,LEA Name,School Code,School Name,Total Unaudited Enrollment (Including Non-Public Enrollment),Total Audited Enrollments (Including Non-Public Enrollment),Students included in UPSFF,Tuition paying non-resident students,Unverified resident students,Audited Non-Public Enrollment,Unverified resident students - Non-Public
126,IDEA PCS,1049,Accotink Academy Therapeutic Day School,2,2,0,0,0,2,0
126,IDEA PCS,1082,Foundation School of Montgomery County Gaithersburg MD,1,1,0,0,0,1,0
126,IDEA PCS,163,IDEA PCS,309,307,307,0,0,0,0
126,IDEA PCS,1056,Kennedy Krieger Greenspring Campus Baltimore MD,1,1,0,0,0,1,0
126,IDEA PCS,1423,Liberty Point Behavioral Healthcare Staunton VA,1,1,0,0,0,1,0
126,IDEA PCS,1066,Lt. Joseph P. Kennedy Institute,1,1,0,0,0,1,0
126,IDEA PCS,1183,New Beginnings Vocational Program DC,2,2,0,0,0,2,0
126,IDEA PCS,1013,Phillips School Laurel Laurel MD,1,1,0,0,0,1,0
126,IDEA PCS,1191,Ridge School of Montgomery County  Day Program Rockville MD,1,1,0,0,0,1,0
126,IDEA PCS,3033,Sheppard Pratt School-Rockville,1,1,0,0,0,1,0
126,IDEA PCS,1081,The Foundation School at PG County,2,2,0,0,0,2,0
126,IDEA PCS,1021,The Village Academy of Maryland,1,1,0,0,0,1,0
129,KIPP DC PCS,1049,Accotink Academy Therapeutic Day School,6,6,0,0,0,6,0
129,KIPP DC PCS,3062,High Road of Maryland Upper School Prince George's County,2,2,0,0,0,2,0
129,KIPP DC PCS,1051,Ivymount School Rockville MD,4,4,0,0,0,4,0
129,KIPP DC PCS,116,KIPP DC - AIM Academy PCS,443,441,441,0,0,0,0
129,KIPP DC PCS,236,KIPP DC - Arts and Technology Academy PCS,295,295,295,0,0,0,0
129,KIPP DC PCS,1123,KIPP DC - College Preparatory PCS,770,769,769,0,0,0,0
129,KIPP DC PCS,209,KIPP DC - Connect Academy PCS,288,287,287,0,0,0,0
129,KIPP DC PCS,1122,KIPP DC - Discover Academy PCS,332,329,329,0,0,0,0
129,KIPP DC PCS,1129,KIPP DC - Grow Academy PCS,262,262,261,1,0,0,0
129,KIPP DC PCS,3071,KIPP DC - Heights Academy PCS,471,469,469,0,0,0,0
129,KIPP DC PCS,1085,KIPP DC - Honor Academy PCS,321,321,321,0,0,0,0
129,KIPP DC PCS,1185,KIPP DC - Inspire Academy PCS,227,227,227,0,0,0,0
129,KIPP DC PCS,189,KIPP DC - KEY Academy PCS,396,395,395,0,0,0,0
129,KIPP DC PCS,132,KIPP DC - LEAP Academy PCS,227,227,226,0,1,0,0
129,KIPP DC PCS,190,KIPP DC - Lead Academy PCS,383,383,382,0,1,0,0
129,KIPP DC PCS,242,KIPP DC - Northeast Academy PCS,354,350,350,0,0,0,0
129,KIPP DC PCS,1177,KIPP DC - Pride Academy PCS,162,162,162,0,0,0,0
129,KIPP DC PCS,1121,KIPP DC - Promise Academy PCS,610,610,610,0,0,0,0
129,KIPP DC PCS,237,KIPP DC - Quest Academy PCS,385,385,385,0,0,0,0
129,KIPP DC PCS,214,KIPP DC - Spring Academy PCS,392,390,390,0,0,0,0
129,KIPP DC PCS,243,KIPP DC - Valor Academy PCS,347,344,344,0,0,0,0
129,KIPP DC PCS,121,KIPP DC - WILL Academy PCS,333,333,333,0,0,0,0
129,KIPP DC PCS,1086,KIPP DC PCS - Legacy College Preparatory PCS,382,382,382,0,0,0,0
129,KIPP DC PCS,1079,Katherine Thomas School Rockville MD,1,1,0,0,0,1,0
129,KIPP DC PCS,1184,Kennedy Krieger School: Powder Mill Campus,1,1,0,0,0,1,0
129,KIPP DC PCS,1066,Lt. Joseph P. Kennedy Institute,4,4,0,0,0,4,0
129,KIPP DC PCS,1183,New Beginnings Vocational Program DC,2,2,0,0,0,2,0
129,KIPP DC PCS,1018,PHILLIPS Programs for Children and Families/ PHILLIPS School ~ Fairfax,3,3,0,0,0,3,0
129,KIPP DC PCS,1159,Pathways Horizons,1,1,0,0,0,1,0
129,KIPP DC PCS,1012,Phillips School Annandale Annandale VA,1,1,0,0,0,1,0
129,KIPP DC PCS,1013,Phillips School Laurel Laurel MD,1,1,0,0,0,1,0
129,KIPP DC PCS,3115,Sheppard Pratt School-Lanham,1,1,0,0,0,1,0
129,KIPP DC PCS,3033,Sheppard Pratt School-Rockville,1,1,0,0,0,1,0
129,KIPP DC PCS,1143,The Foundation Learning Center,2,2,0,0,0,2,0
